text,rating
"One the best hotel I stayed in Casablanca. The service was so great and great ambiance. Special thanks Hajar, she is so professional and she went above and beyond to accommodate me. The breakfast buffet was so great . The massage I received from Maha was fantastic.",5.0
"When you hear the label Sofitel you create great expectative. The hotel is well located but the interior is outdated and not so clean. Pallet of colors and finishes in the room are from at least , 15 years ago. Spa on repair, and a restaurant with exorbitant prices. Ignore why,  but the lobby is full of flies. Maybe the next door hotel, from the same conglomerate, Ibis , is more actual and clean.",3.0
"We chose this hotel for its location and view but was disappointed by the accommodations. The location was indeed ideal being just a short distance from the Medina. The view from our room was stunning and almost distracted us from the things that were lacking from our room.  Unfortunately, though, the room was not clean and some fixtures in the room were broken or missing.  The hotel pool was dotted with missing tile making ruins we saw in Volubilis  better maintained.  Also, the on ceiling plaster was falling into the pool.  The staff was friendly enough but it is sad they were forced to answer for the years of lack of maintenance by their corporate honchos.  Please invest in your properties if you want us to invest our time and money in them.  If the 500 year old riads I stayed in can maintain the intricate tile and wood work, you can re-plaster the ceiling in the pool area.…",2.0
"There's a lot of building work going on around the hotel, making access difficult (not helped by contradictory signage). The lobby and ground floor area is large and has bars, restaurants etc. It was always full of people, mostly business men, I'd guess from the suits.  The spa upstairs was fine but all in need of redecorating (probably as a result of the humidity)  The rooms were spacious and well appointed, if uninspiring. I personally found the windows (covered floor to ceiling in black dots, presumably to keep out sun and prying eyes) somewhat claustrophobic as I couldn't see out easily either. Again the decor was tired - shabby fittings etc. However, when all the power went out in my daughter's room, they fixed it very quickly. All the staff were very smiling, polite and eager to help.  So, all in all…",3.0
"Worst experience ever. I have been there 8th to 11th of September 2022. And my colleagues and I were supposed to stay  until 16th of September for a business trip.  It was my first time In Morocco and we picked sofitel as we know how nice this chain in Dubai is.  AC wasn't working for 3 nights and from the first night we asked when it's gonna be fixed there answer always tonight.  Bed were uncomfortable at all for all of us commented the same, carpets were full of smell of humidity and they were trying to cover it, using some perfumes on the carpet. Was really really bad experience,  we had to check out and moved to other hotel.  The only nice thing there was the staff , they tried the maximum to comfort us but its not their fault, the full building needs a total makeover and…",1.0
"Thank you very much for the warm welcome. It is a pity, that the quality of the Hotel ist ging in the wrong direction. My room was not clean at all. The Restaurant ist still fine. It is time to renevate the rooms. The staff is very friendly and supportive. ",3.0
"Sofitel is a fine establishment and the staff made my trip pleasant from the time I checked in. My request for an early check-in was accomodated and room upgraded due to the availability of a suite.   Every morning, Hajar and Iman would greet me and make sure that all of my needs were met. They assisted me with knowledge of the surrounding area and city. Concierge even went down to the market to negotiate a suitcase for me because they knew that the prices would be inflated for tourists.   This was a wonderful stay but the staff made the experience worthwhile. I would certainly come back again.",5.0
Rooms and bathroom were not clean and run down. It needs renovation urgently. The bed and the blankets were not dry and the bed was uncomfortable. Staff was nice and helpful. It is definitely not Sofitel quality and standard. ,1.0
"The Sofitel Casablana Tour Blanche is an excellent business hotel. Located ideally in the centre of the city, it has all the facilities one might need for a business trip. The hotel is well kept, clean, tidy and comfortable. The facilities in the hotel are a delivered to a very hight standard. Thoroughly recommended.",5.0
"Good qualities  - friendly staff ( ali , Abraham and Moana )  - location is great  - reception is beautiful   Poor qualities  — the travel desk is unorganized with no prices on tours transfers or information  - they hired us a tour to the market at a ridiculous  price and he ended taking us to a carpet shop ( possible one of his friends ) where he gets commission - wasting a good two hours  - the room fixtures and fitting needs maintenance  - fridge not working  - bathroom floors not that clean   With a little corrections / this hotel can be really nice",3.0
"The food was outstanding, the room comfortable and the spa relaxing. Our room was a bit dated, but the location, food and staff made it a great stay for the start and end of our tour of Morocco. We will certainly stay here on our next trip up the coast, and maybe upgrade to one of the suites.",4.0
"This is a terrible hotel. Staff are not helpful. A pickup from the railway station, booked earlier,  never materialized. We were ostensibly upgraded after waiting for a room for a couple of hours. However, the upgraded executive room was a dump. It required serious refurbishment as the upholstery was dirty and worn out. Likewise, the carpet looked dirty and requires change. The luggage area appeared mouldy.  We were given one soap to share between two separate, but petite, washbasins. The phone did not work and the A/C did not cool. Hence, I had to physically go down to complain -  not once but three times since we could not get any sleep. Repeated promises of sending a technician never materialized. The breakfast was very basic — my daughter had gripes after breakfast probably…",1.0
The lobby was very nice. The hallways and rooms were not very clean. The furniture was clearly worn and a bit dirty. The staff seemed a bit disorganized and not focused on their guest experience. Would not recommend staying here. This hotel does not live up to its previous reputation.,2.0
"Dirty old outdated. Bed has stains, Towels had stains, floors and carpet are dirty. Room smells like piss, as do hallways. AC barely functional.  Showing it’s age and years of neglect. I would never come back here.  Location was probably good once but now there is construction in front but it’s close to a lot of tourist areas..  forgot to mention there were flies in the room.",1.0
"Centrally located hotel, which offers all the amenities you need. Excellent customer service, with team members going out of their way to assist. Rooms are very clean, large and airy with good A/C. Lobby bar is lively and a great place to meet up for pre-dinner drinks. A great hotel for those on business or visiting Casablanca. ",5.0
"Everything was great, the service was genuinely 5 * the rooms could do with a little refurbishment, the pity is it was covid time, so a lot of teh facilities were clearly not would have been normally available, but still a great hotel great location and staff. greatly enjoyed.",5.0
Room was gorgeous and clean and smelled amazing on entry. Amenities were wonderful. Staff was friendly and helpful. My only regret was we couldn't stay longer than a couple hours and I wasn't able to try out the gym.,5.0
"Nice hotel nice rooms clean hotel, staff is nice and ready to help anytime, breakfast is nice and they have turkish coffee, defınıtely recomend for bussıness and tourısm, well located and management takıng care of the clıents",5.0
"very nice bar and team very nice across all services. I came for a conference hosted un the hotel and this was great welcome and nice services, the snaks at coffee time where very good and we got a dinner by the pool which was great. ",5.0
"It's one of the best hotels in Morocco. it's super clean and the service is amazing. Just be aware that there are two Barcelo hotels (Barcelo, and Barcelo Anfa) and both of them are in the same area..",5.0
"Very Comfortable beds, all the hotel was Super Clean , Good Location easy to find public transportation  , Super nice staff , Fast Check in , I am pretty sure it will be my destination forever for upcoming business visit",5.0
"Classy, high-end business hotel without being stuffy.  Contemporary design with colorful Moroccan design flourishes.  Quiet hallways with excellent soundproofing/carpeting.  Excellent location in the heart of the City.  Best of all are the staff, in particular the two ""Youssefs"" and the entire crew of attendants at breakfast in the main restaurant.  Attentive (even when busy) and down right playful.  Always enjoyed our interactions prior to starting the day.  See you next time.  Shared our conpliments with the General Manager and the Guest Experience Manager.  -The guys from Washington, DC.",5.0
"My husband I stayed at this hotel at the beginning and end of our 2 weeks in Morocco. We arrived early in the morning and they did everything they could to accommodate us. When we returned at the end of our trip, we spent an evening chatting with several of the staff. Houssam, Adil, Hassan, and Sofian in the Palma Lounge were engaging, professional, and just all around lovely people to get to know. They were congenial and quick with a drink or a suggestion of what to do in the city. 10 out of 10, highly recommend!!",5.0
Old but renovated hotel. The rooms are comfortable and spacious.  Good  various breakfast . we got a very good service at  breakfast and also from reception team. Everyone was helpful.  The check in could be little bit faster. Its good for one till tow days city trip.,4.0
"I stayed at this hotel on the recommendation of my friends. It really is as good as they say. Everything was great. The hotel is very well maintained and clean, the beds are very comfortable, the rooms are convenient and modern, the food was great. Especially the room service staff were very kind, helpful and smiling. Food always arrives hot and all delicious. For this reason, I ate my dinner at the hotel every day of my stay. Next time I will choose to stay in this hotel again. Thanks for everything.",5.0
"Stayed for 48 hours in Casablanca for business, excellent facilities and very friendly staff. Booked the airport transfert through the hotel and it was the best decision ever. The driver was very professional, on time and very helpful; which I appreciated a lot. Food was delicious; Highly recommend Barcelona anfa for going above and beyond to make my trip confortable.",5.0
"The Hotel is nice and comfortable, but calling it 5 starts is a bit much.  I would more agree with 4 stars.   But the main issue is the airport shuttle.  Do not paid for the service, you will paid double than a grand taxi, for something smelly and uncomfortable.   It's so easy to get a taxi from the airport, and to get to it, there is a grand taxi stand just in front of the hotel door!  Don't waist your money, and help the taxi drivers instead.  We have paid 800 MD (80 euros, and way more the advertise on the website) for a service in a car that obviously needed some repair and look nice only in the dark and was very, very smelly (heavy cigarets sent).  Our grand taxi ride from the airport was only 350 MD (35 euros) and was very comfortable.",3.0
"Had a nice stay but would like to give a special thanks to Youness the pool ( aqua) bar waiter who was friendly, polite and very helpful. It made my stay so much easier and pleasant. Very attentive with drink food and could answer many questions about the local area.",5.0
"We recently stayed at this hotel for 3 nights and we're very happy with our stay. The rooms are beautifully decorated and very comfortable. The staff were very helpful, professional and friendly. The location was perfect. The breakfast buffet was average. The only thing we didn't like is the taxes that park outside hotel, they harass people. Otherwise great stay at the hotel! ",5.0
"I couldn’t sleep well because of the all noises coming from street. Windows feels are made of paper with such weak sound isolation. However, the furnitures are modern and nice. Location is acceptable.",1.0
Stayed for one night on the way to Marrakech but I wish I had stayed longer. Staff we very welcoming and helpful in assisting us with flagging a taxi and negotiating the price. The room was beautiful and very clean. I loved the design of the room. The grounds are well appointed and beautiful in design. Location is great for a quick walk to the Hassan Mosque. ,5.0
"We had a great stay at the Barcelo Anfa Casablanca, as our last stop during our trip to Morocco.  After visiting sights in the morning, we spent the afternoon by the pool, enjoying the beautiful sunshine. Staff was very courteous and always available to help. The hotel was a quick 20-minute walk to Hassan II Mosque, which is definitely worth a visit.  Bed was very comfortable and the shower was great. Overall, the hotel was very modern and stylish. If you are spending time in Casablanca, stay at this hotel. You will not regret it!",5.0
"Very nice hotel, big rooms and cleans.  The services are very good at check in, and also in the hotel bar, restaurant and breakfast area. The breakfast was one of the best we have from many others hotels. They care of everything, always ready to help and solve all of our requests.  The minus of this hotel is rooms cleaning service, not because they did not clean but because they always forgot to supply a lot of amenities. We remain or without ear sticks, or slippers, or towel to get out from the shower, or  etc. We will come again and recommend the hotel to our friends.",4.0
"Very welcoming check-in.  Cool room, doesn't feel like you're in a big city.  We loved the pool area, it was a great surprise - very big pool; staff to bring drinks to your lounge chair, open  to the nice blue sky ... ya I'd do it again.",5.0
"Absolutely gorgeous hotel with top rate service and and insanely comfortable bed.  Breakfast on the rooftop was well worth the price and delicious, and we also enjoyed tapas for dinner.  We would especially recommend the Andalusian octopus.  Finally, although we usually like to explore alone, the front desk arranged a guide and driver for us and it was an incredible experience.  ",5.0
"What a great hotel. Tucked away on a quiet side street. Helpful staff. Large pretty, well appointed clean rooms with large bathrooms. Comfy beds (which we found was a rarity on this trip). The softest most comfy slippers I’ve ever felt. And the rooftop restaurant food is fantastic -  especially at dinner. One of the best meals I had.   My only nitpicks are the beds are too close together especially for such a big room and the draping around the bed is just a dust catcher and unnecessary. Also they should stop putting decorative velvet pillows (which r not cleaned) on the bed touching the bed pillows where guests will be putting their faces. Nothing should be on a hotel bed that hasn’t been washed.   I did have one issue at lunch where a server brought me the wrong dish (I assume because of the language barrier).  Like everywhere in Morocco, smoking is allowed in outdoor restaurants which makes it hard to enjoy your meal. Perhaps one day they will change this.…",5.0
"We had a superb meal in this out-of-the-way hotel in Casablanca. Service was first rate, the food excellently prepared and the cocktails heavenly! Being compact the atmosphere was intimate but by no means cramped and the decor was delightful. Having the roof open added to the special feel of the top floor setting. Highly recommended!",5.0
We stayed one night at Hotel LeDoge and had dinner in the restaurant. We tried many Tapas so we could taste more foods. It was all delicious and we had the best service. We had breakfast the next morning and it was equally good. We will eat at Hotel LeDoge again in the near future.,5.0
"My first contact was with Mr. Abedelhadi Hafidi and I knew immediately that I had chosen the best hotel for my friend and me! Upon arrival we received a very warm welcome from the staff, especially Mohamad. Our 2 suites were immaculate, spacious and well appointed. We enjoyed a delicious breakfast on the rooftop restaurant each morning. It’s location is perfect for exploring Casablanca. Thanks to the entire staff for a perfect 3 nights.",5.0
Beautiful suite.  Easy access for mobility as they have an elevator and suites on first floor. Good restaurant on top level.  Service and response was excellent. Had early flight and they sent us off with boxed breakfast.  Would like to havre stayed longer,5.0
"We had two rooms on the second floor.  One room had a nice outside patio. The rooms were lovely.  The staff were very nice and helpful. We brought a car and the staff parked it for us on the street each day.  The rooftop bar/restaurant is quite lovely.  Breakfast, although a bit pricey, is quite nice...except for the coffee. I would really appreciate good coffee.",5.0
"Fantastic stay at Le Doge. Staff was great and accommodating, as were the restaurants for both dinner and breakfast. The room had a great since of style and sophistication. Awesome design and execution! Would definitely stay here again. ",5.0
"We stayed here for six nights.  The hotel inside is beautiful and the staff are incredibly attentive! The best staff by far of anywhere we have been before. The hotel is a delight of old style opulence and with the amazing staff, it really was a pleasure staying there.  We had the 'standard' room and were more than happy - the maid visited every day and left complimentary bottled water, fruit and nuts.  On arrival we had a complimentary bottle of wine too. We read some other traveller reviews that said this wasnt as good as others in the chain - well those other hotels must be beyond amazing!  We were not disappointed with Hotel le Doge and would definitely return. To add to the hotel and improve guest satisfaction, it would be great to have a local map (for walking) and maybe a list of 'must see' places or some good venues to eat outside of the hotel.  We did ask for a local map but one was not available (due to covid) - Im sure this could have been overcome?  Perhaps a map and list of 'must see' and suggested eating places could be printed on request or another creative way of being provided?  This aside, it did not spoil our holiday or lower our overall view of the staff and hotel.   We loved Casablanca, much more than Marrakesh!  Each to their own, but we felt there was plenty to see and explore here.  However, you do have to be careful when out and about and looking 'lost' - everyone is your 'friend' and willing to help and it invariably involves a cost afterwards! We booked the airport transfer with the hotel and believe that was well worth it - we didnt have to think about how to get to the hotel when we arrived, especially as our flight was delayed.   We also pre-booked through the hotel the Hassan II Mosque tour but was a bit confused to find that this apparently was just a taxi to the place and not an actual booking!  Perhaps this could be made clearer on the website? The roof top terrace restaurant was fantastic and breakfast was amazing!  We also ate in the indoor restaurant.  Again, the decor is lovely. A spa is mentioned but we didnt see it.  I believe there was a complimentary Hamman visit in our booking though this wasnt mentioned when we arrived.…",5.0
We stayed in Casablanca doing one of the legs of our trip to Morocco and had the opportunity to stay at the Le Doge Hotel & Spa.  The hotel is well located near some areas of interest.  We actually walked from the hotel to the Grand Mosque and back one day.  The walk provided the opportunity to get to know the city and see different districts of the city.  It was an experience.  The hotel has this nice stair case that you see in many of of the pictures too.  We also had some drinks on the rooftop deck and had breakfast included with our stay and it was yummy.  The hotel is also part of the Relais et Chateaux.,5.0
"Booked this hotel to have an interesting art deco boutique hotel experience, after having stayed at Riad Fes and the Four Seasons in Marrakech.  Small property in a neighborhood that is hard to find. Front desk service not particularly helpful, made me show proof of free breakfast in our rate three times.  Rooms are a bit tired and in need of updates.  Midnight brought the sound of neighborhood dogs barking and motorcycles outside, heard through closed 3rd floor windows.  The scent of cigarette smoke permeated the hallway air, wafting downwards from the 5th floor terrace where there’s a small bar/resto.  By the way, no hot water in shower despite waiting 10”.    Skip this one and stay elsewhere if you’re expecting a typical luxury boutique hotel experience.  Not a true 5 star…",2.0
"Very nice, boutique hotel in a quiet residential area.  My favorite was  Great staff:  Reception, bellman, staff on rooftop restaurant. Everyone was really  wonderful. What I didn't like was: Hemingway Suite:  Room itself was nice. Outside terrace with pigeon poops all over.       Discouraged to go outside.  Lighting was dark. It may be good to consider.",4.0
We were only here for one night. We ate dinner which had amazing flavors on the roof and it was beautiful. The whole hotel is charming and we hope to go back someday. Breakfast was wonderful and the bed super comfortable. Service was over the top.,5.0
"This is an excellent, stylish boutique hotel, especially if you like Art Deco and fusion cuisine. I liked the big splashy rooms and lavish baths, the rooftops terrace, the professional staff and the delicious cuisine.  The breakfast on the rooftop was outstanding. My only quibbles were that the hot water was lukewarm and electrical outlets were few. The hotel is well located in a quiet one way street near the Cathedral and the foundation Slaoui Museum. Be forewarned  that the street on which the hotel is located is extremely narrow and very hard to find.  I would stay again at this hotel.",5.0
"Stayed here for 3 nights.  Hotel was clean, comfortable, each room is uniquely designed.  Staff was super friendly and helpful.  We were there during Ramadan and were able to enjoy their dinner for breaking the fast twice during our stay - the food was superb!  Breakfasts were plentiful and delicious as well.  Would highly recommend!",5.0
"We only stayed one night but it was very nice. Good sized rooms with comfortable bed, clean bathrooms, enough electrical plugs for all our gadgets. What stood out for me was the rooftop restaurant. Breakfast was very nice but dinner was excellent. I had the salmon and my husband had chicken tagine. After11 days in Morocco, having eaten many chicken tagines, theirs was my favorite!  That’s all.",5.0
"This is a lovely hotel that takes you back to the 20's and 30's, located on a somewhat obscure little street in central Casablanca. Rooms are beautifully decorated. The rooftop cafe was great. The breakfast was abundant and of high quality; it was cooked to order. The staff was very helpful.",5.0
"My wife and I stayed at the Le Doge Hotel for 3 nights at the beginning of our Morocco vacation, and 1 night on the way out.  We were very happy with the hotel overall - the beautiful room, the service from Mohammed and other members of the staff, the dining area and bar on the rooftop, and a central but quiet location.  The team there always tried to help with any questions.  We will happily stay there again.  We believe we are experienced travelers and we highly recommend Le Doge to anyone who likes to be in well located boutique hotels with fine service.",5.0
"Small, very nice hotel on a quiet side street.  Each room is uniquely furnished with comfortable furniture and spacious bathrooms.  There is a rooftop restaurant serving both Moroccan and Spanish influenced food.  Wine and a full bar are available.",5.0
"I have stayed at the Doge 4 times and can only speak extremely highly of their brilliant service. 5 star accommodations, amazing food, a rooftop and the most attentive staff ever. I was especially impressed with the Moroccan dinner at ""Le Jasmin"" - a must and great for groups. 11/10 recommend.",5.0
Good service. Good ambiance good food at the terrasse jasmin and particularly the very helpful manager Farouk I recommend this hotel very nice and all the staff is great. A great place to meet and to relax. Very good wine list. I cannot recommend it more highly,5.0
"This was the most gorgeous, luxurious hotel I have ever even seen! It is worth every single penny- a must do or at least see if you’re around!! Restaurants and shopping g inside were top notch. I stayed in the Katoub view room, GORGEOUS view of the Mosque! ",5.0
"I’ve been in Casablanca and pick this Hotel . It’s superb . The facilities are amazing , so beautiful , the staff so friendly and helpful , everyone is welcoming us . It feels like home , especially  the manager , Farouk ❤️ Best luck ",5.0
"While Casablanca itself as a city is the least interesting place I visited in Morocco, the Le Casablanca was an oasis in the desert. Excellent, friendly and helpful service across the board. Dramatic lobby gives way to terraces, courtyards and pool. Very good food in the restaurants, again with excellent service. Dinner in their new, fancy restaurant (Pergola) was a nice service and wine experience. But I had chicken tagine thinking it would be excellent given the formality of the restaurant: it was the worst I had on my whole two week trip an; dining companion's French meal was excellent. Next night we had an excellent meal on the terrace restaurant. Overall, I would stay again and stick with the French food.",5.0
Sara was a wonderful person to speak with and very knowledgeable of t he attractions. She wanted to help where she could amd was lovely to speak with. She really only wants the best for her customers experience and it shows. Wish there were more like her in this world. ,5.0
"Great hammam experience and wonderful service all around the hotel! Everyone is so nice and pleasant, the hammam ladies were so nice and the experience was amazong as a whole! Sara at La Pergolat was also very lovely. Definitely recommend to anyone looking to live a real moroccan experience! ",5.0
I recommend the Hotel le Casablanca I’m staying with my friends I think it’s very good address I’m definitely coming back every thing was fabulous from the start the Hostesse Sarah was so welcoming and all the staff and the food is amazing,5.0
Delicious cake! The food was just amazing at the terrasse jasmin and The manager Farouk was super friendly and at the service I recommend it’s the place to be friends party at and the view is incredible,5.0
"We were just ending a two-week trek through Morocco, so after visiting the Mosque we checked in to Le Casablanca. It was nice to just stay in the hotel and rest after so much travel. We were able to eat at a few different options, there is a lobby bar and breakfast buffet, and we received massages. ",4.0
"This hotel rates top marks in all categories. The staff are fantastic, particularly Adnane in the bar. I was hosting a group of 16, and we were made to feel incredibly welcome and pampered. Thank you to everyone!",5.0
Beautiful hotel with outstanding lobby. Rooms were lovely and staff was great. Sara was the hostess on duty when we came and made us feel very welcome by giving us hot tea and sweets. A wonderful way to begin our Moroccan vacation. Magnificent pool setting. Great eating on the patio.,5.0
Our first trip to Casablanca and Terrasse Jasmine was outstanding! Superb service from Tawfek and wonderful menu. Great location and terrific restaurant. Highly recommend a stay and dinner at Le Casablanca Hotel.,5.0
"Ádnane and Farouk represent the classical elegance with their personal, over the top attention —true to this famous elegant hotel. They created special cocktails from the past grand eras of this hotel and represent its heritage with pride. Well done!!",5.0
Lovely hotel great staff specially Sarah with her welcoming smile and at the helpful on the lobby. I recommend this hotel very stylish and good location the food is also delicious I had a good time I will be back for another satycation  thanks the Casablanca Hotel.,5.0
Le Casablanca is a wonderful elegant hotel that is in a quiet section of the city within walking distance of the medina and the Hassan mosque.  We had the pleasure to meet Sara the hostess who was engaging and most helpful in getting us situated at the hotel.  It was clear she cared about the guests.  The hotel has some lovely dining places outside. The rooms are large and quite comfortable.,5.0
